#Claim Number,Claim Occurrence 1,Claim Occurrence 2,Borough,Date Occurred,Date Claimed,Amount,name,longitude,latitude
2013PI018547,201 BAY ST,,STATEN ISLAND,4/17/2013,,,2013PI018547,-74.075705,40.637338
2013PI018573,460 MORRIS PARK AV,,BRONX,4/21/2013,,,2013PI018573,-73.871672,40.840881
2013PI018583,1368 WEBSTER AV,,BRONX,5/22/2013,,,2013PI018583,-73.907316,40.834904
2013PI018585,1368 WEBSTER AV,,BRONX,5/22/2013,,,2013PI018585,-73.907316,40.834904
2013PI018658,AVE U & FLATBUSH AV,,BROOKLYN,4/20/2013,,,2013PI018658,-73.922499,40.609818
2013PI018679,MORNINGSIDE DR,118TH ST,MANHATTAN,5/22/2013,,,2013PI018679,-73.95841,40.807426
2013PI018727,751 E 161 ST,,BRONX,5/25/2013,,,2013PI018727,-73.904407,40.822139
2013PI018734,UTICA AV,ST JOHNS PL,BROOKLYN,5/24/2013,,,2013PI018734,-73.930954,40.67059
2013PI018785,BUSHWICK AV & STAGG ST,,BROOKLYN,5/4/2013,,,2013PI018785,-73.940198,40.709829
2013PI018787,120 SCHERMERHORN STREET,,BROOKLYN,5/5/2013,,,2013PI018787,-73.988964,40.689719
2013PI018797,649 WESTCHESTER AV,,BRONX,4/18/2013,,,2013PI018797,-73.908073,40.817514
2013PI018808,163 ST & OGDEN AV,,BRONX,6/18/2013,,,2013PI018808,-73.929745,40.832293
2013PI018838,2242 JEROME AV,,BRONX,1/10/2013,,,2013PI018838,-73.903951,40.857636
2013PI018840,2725 WEBB AV,,BRONX,6/16/2013,,,2013PI018840,-73.902107,40.869991
2013PI018873,800 SOUNDVIEW AV,,BRONX,6/10/2013,,,2013PI018873,-73.865049,40.822253
2013PI018891,2 WEST STREET,,MANHATTAN,6/14/2013,,,2013PI018891,-74.017494,40.705515
2013PI018917,2103 HONEYWELL AV,,BRONX,6/22/2013,,,2013PI018917,-73.882618,40.845652
2013PI018940,5726 1 AV,,BROOKLYN,1/22/2013,,,2013PI018940,-74.024261,40.646476
2013PI018997,10 AV,W 14 ST,MANHATTAN,5/1/2013,,,2013PI018997,-74.008204,40.742156
2013PI019065,820 39 ST,,BROOKLYN,4/23/2013,,,2013PI019065,-73.996841,40.646726
2013PI019134,9270 FOSTER AV,,BROOKLYN,7/9/2013,,,2013PI019134,-73.909239,40.646034
2013PI019225,1 HOGAN PL,,MANHATTAN,2/15/2013,,,2013PI019225,-74.00125,40.71515
2013PI019293,1095 PROSPECT AV,,BRONX,4/24/2013,,,2013PI019293,-73.899361,40.826005
2013PI019296,1095 PROSPECT AV,,BRONX,4/24/2013,,,2013PI019296,-73.899361,40.826005
2013PI019316,1862 WOODBINE ST,,QUEENS,3/4/2013,,,2013PI019316,-73.905399,40.703545
2013PI019338,FOX ST,TIFFANY ST,BRONX,6/7/2013,,,2013PI019338,-73.894931,40.818856
2013PI019350,2090 MORRIS AV,,BRONX,5/21/2013,,,2013PI019350,-73.904469,40.854022
2013PI019425,LIVONIA AV,ROCKAWAY AV,BROOKLYN,5/30/2013,,,2013PI019425,-73.908921,40.662563
2013PI019491,674 E 226 ST,,BRONX,7/2/2013,,,2013PI019491,-73.861161,40.888553
2013PI019524,2330 TIEBOUT AV,,BRONX,5/9/2013,,,2013PI019524,-73.896403,40.857223
2013PI019547,493 COLUMBIA ST,,BROOKLYN,5/7/2013,,,2013PI019547,-74.004533,40.674838
2013PI019616,1565 TOWNSEND AV,,BRONX,4/29/2013,,,2013PI019616,-73.914434,40.843556
