#population,latitude,longitude,income,errormargin
9990,32.487731,-85.088637,60846,5887
5181,32.50876,-85.115328,53462,6771
1998,32.526506,-85.097845,40688,11120
3643,32.501673,-85.39272,43484,12609
6826,32.518695,-85.3027,49102,6423
4257,34.865062,-86.874633,49931,6077
6317,34.953961,-86.839272,43714,4310
4820,34.855229,-86.995388,40048,12923
4957,34.927529,-86.961663,45625,6747
3583,34.916822,-87.143163,44850,9557
5961,34.804541,-87.127102,42321,7647
5404,34.79611,-87.042959,43750,4815
2805,34.80122,-86.989955,30759,5402
4140,34.813947,-86.980229,37629,5844
2062,34.812232,-86.956877,39309,11872
8032,34.818785,-86.842159,61019,7198
8228,34.780843,-86.844789,65731,12311
3755,34.790358,-86.950232,49207,6090
2445,34.786718,-86.983793,36250,11008
6578,34.739052,-86.97791,45000,6761
9438,34.705685,-86.822337,80732,8842
3620,32.199776,-86.516572,36397,12198
2932,32.271273,-86.721297,29146,11653
1861,32.138836,-86.718148,21763,5557
2886,32.020163,-86.578513,25556,5044
1403,32.445968,-85.524288,31579,10993
3156,32.538816,-85.697906,30580,5440
1187,32.42051,-85.782852,26616,6122
1559,32.398181,-85.719599,16607,5558
1307,32.459235,-85.741121,36016,14780
2113,32.430946,-85.706445,30125,16130
1262,32.439445,-85.681692,19013,8756
1940,32.417436,-85.713865,18918,5134
1531,32.423682,-85.688901,26465,3116
1935,32.409102,-85.71966,38000,13837
2309,32.363856,-85.912187,44583,16291
1750,32.303551,-85.622168,23504,3232
760,34.773976,-86.565556,20256,2284
4399,34.777024,-86.574405,25636,7731
3954,34.783592,-86.590387,35269,3282
3650,34.782598,-86.60713,35396,2590
4886,34.801107,-86.607467,45427,5702
1807,34.774423,-86.630579,43333,20838
2333,34.767771,-86.633749,35293,6307
1878,34.763502,-86.625863,47609,15468
1598,34.753586,-86.634242,50455,6371
1992,34.754797,-86.619025,37061,5620
2997,34.766786,-86.602584,32434,10174
2651,34.754894,-86.603469,29441,8041
4193,34.756482,-86.553205,52346,8507
2061,34.743524,-86.557682,44068,5797
2882,34.742081,-86.571563,37366,10486
3380,34.733275,-86.606773,14006,3699
3868,34.741345,-86.639572,24048,4231
1844,34.74182,-86.620381,41038,12099
1579,34.738757,-86.706455,69907,17094
4853,34.723006,-86.673372,39063,10520
4946,34.729535,-86.62768,32239,3983
1871,34.726452,-86.567663,74464,19039
3571,34.728726,-86.546235,99107,6837
3386,34.71015,-86.555755,109500,27942
1333,34.687759,-86.540118,96442,29015
2484,34.687841,-86.561144,111797,12642
2095,34.711608,-86.580487,59495,11929
3495,34.717936,-86.606141,20912,3996
2101,34.715567,-86.630564,23205,4613
5172,34.704951,-86.618937,26744,3789
4744,34.691894,-86.620639,28894,3017
3427,34.698764,-86.603745,21636,3213
3082,34.68,-86.59204,21624,4069
4036,34.691928,-86.574665,52702,12188
2534,34.659537,-86.562755,60809,13933
4039,34.658258,-86.546967,85491,12127
3074,34.65793,-86.532146,79800,11246
3894,34.659116,-86.577467,54091,3859
5829,34.613828,-86.577713,77522,8898
4535,34.636852,-86.55345,81858,13505
2466,34.637567,-86.531762,88906,9980
6224,34.614422,-86.555345,57716,6329
4387,34.613937,-86.53542,76875,10485
3086,34.752279,-86.587001,26179,5784
2982,34.733548,-86.586928,30625,13493
9355,34.871934,-86.445296,59608,4882
5516,34.784288,-86.424332,63896,7354
8125,34.941772,-86.585865,57955,9294
